Province/State,Country/Region,Lat,Long,cases
Afghanistan,Afghanistan,33,65,906
Albania,Albania,41.1533,20.1683,539
Algeria,Algeria,28.0339,1.6596,2418
Andorra,Andorra,42.5063,1.5218,696
Angola,Angola,-11.2027,17.8739,19
Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,23
Argentina,Argentina,-38.4161,-63.6167,2669
Armenia,Armenia,40.0691,45.0382,1201
Australia,Australia,-35.4735,149.0124,103
Australia,Australia,-33.8688,151.2093,2926
Australia,Australia,-12.4634,130.8456,28
Australia,Australia,-28.0167,153.4,1007
Australia,Australia,-34.9285,138.6007,435
Australia,Australia,-41.4545,145.9707,180
Australia,Australia,-37.8136,144.9631,1302
Australia,Australia,-31.9505,115.8605,541
Austria,Austria,47.5162,14.5501,14595
Azerbaijan,Azerbaijan,40.1431,47.5769,1340
Bahamas,Bahamas,25.0343,-77.3963,54
Bahrain,Bahrain,26.0275,50.55,1740
Bangladesh,Bangladesh,23.685,90.3563,1838
Barbados,Barbados,13.1939,-59.5432,75
Belarus,Belarus,53.7098,27.9534,4779
Belgium,Belgium,50.8333,4,36138
Benin,Benin,9.3077,2.3158,35
Bhutan,Bhutan,27.5142,90.4336,5
Bolivia,Bolivia,-16.2902,-63.5887,465
Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,1214
Brazil,Brazil,-14.235,-51.9253,33682
Brunei,Brunei,4.5353,114.7277,136
Bulgaria,Bulgaria,42.7339,25.4858,846
Burkina Faso,Burkina Faso,12.2383,-1.5616,557
Cabo Verde,Cabo Verde,16.5388,-23.0418,56
Cambodia,Cambodia,11.55,104.9167,122
Cameroon,Cameroon,3.848,11.5021,996
Canada,Canada,53.9333,-116.5765,2397
Canada,Canada,49.2827,-123.1207,1575
Canada,Canada,37.6489,-122.6655,13
Canada,Canada,53.7609,-98.8139,250
Canada,Canada,46.5653,-66.4619,117
Canada,Canada,53.1355,-57.6604,256
Canada,Canada,44.682,-63.7443,606
Canada,Canada,51.2538,-85.3232,10456
Canada,Canada,46.5107,-63.4168,26
Canada,Canada,52.9399,-73.5491,16798
Canada,Canada,52.9399,-106.4509,307
Central African Republic,Central African Republic,6.6111,20.9394,12
Chad,Chad,15.4542,18.7322,27
Chile,Chile,-35.6751,-71.543,9252
China,China,31.8257,117.2264,991
China,China,40.1824,116.4142,593
China,China,30.0572,107.874,579
China,China,26.0789,117.9874,354
China,China,37.8099,101.0583,139
China,China,23.3417,113.4244,1577
China,China,23.8298,108.7881,254
China,China,26.8154,106.8748,146
China,China,19.1959,109.7453,168
China,China,39.549,116.1306,328
China,China,47.862,127.7615,872
China,China,33.882,113.614,1276
China,China,22.3,114.2,1021
China,China,30.9756,112.2707,68128
China,China,27.6104,111.7088,1019
China,China,44.0935,113.9448,193
China,China,32.9711,119.455,653
China,China,27.614,115.7221,937
China,China,43.6661,126.1923,102
China,China,41.2956,122.6085,146
China,China,22.1667,113.55,45
China,China,37.2692,106.1655,75
China,China,35.7452,95.9956,18
China,China,35.1917,108.8701,256
China,China,36.3427,118.1498,787
China,China,31.202,121.4491,628
China,China,37.5777,112.2922,197
China,China,30.6171,102.7103,560
China,China,39.3054,117.323,189
China,China,31.6927,88.0924,1
China,China,41.1129,85.2401,76
China,China,24.974,101.487,184
China,China,29.1832,120.0934,1268
Colombia,Colombia,4.5709,-74.2973,3439
Congo (Brazzaville),Congo (Brazzaville),-4.0383,21.7587,143
Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,287
Costa Rica,Costa Rica,9.7489,-83.7534,649
Cote d'Ivoire,Cote d'Ivoire,7.54,-5.5471,688
Croatia,Croatia,45.1,15.2,1814
Diamond Princess,Diamond Princess,0,0,712
Cuba,Cuba,22,-80,923
Cyprus,Cyprus,35.1264,33.4299,750
Czechia,Czechia,49.8175,15.473,6549
Denmark,Denmark,61.8926,-6.9118,184
Denmark,Denmark,71.7069,-42.6043,11
Denmark,Denmark,56.2639,9.5018,7073
Djibouti,Djibouti,11.8251,42.5903,732
Dominican Republic,Dominican Republic,18.7357,-70.1627,4126
Ecuador,Ecuador,-1.8312,-78.1834,8450
Egypt,Egypt,26,30,2844
El Salvador,El Salvador,13.7942,-88.8965,177
Equatorial Guinea,Equatorial Guinea,1.5,10,79
Eritrea,Eritrea,15.1794,39.7823,35
Estonia,Estonia,58.5953,25.0136,1459
Eswatini,Eswatini,-26.5225,31.4659,16
Ethiopia,Ethiopia,9.145,40.4897,96
Fiji,Fiji,-17.7134,178.065,17
Finland,Finland,64,26,3489
France,France,3.9339,-53.1258,96
France,France,-17.6797,149.4068,55
France,France,16.25,-61.5833,145
France,France,-12.8275,45.1662,245
France,France,-20.9043,165.618,18
France,France,-21.1351,55.2471,402
France,France,17.9,-62.8333,6
France,France,18.0708,-63.0501,35
France,France,14.6415,-61.0242,158
France,France,46.2276,2.2137,147969
Gabon,Gabon,-0.8037,11.6094,108
Gambia,Gambia,13.4432,-15.3101,9
Georgia,Georgia,42.3154,43.3569,370
Germany,Germany,51,9,141397
Ghana,Ghana,7.9465,-1.0232,641
Greece,Greece,39.0742,21.8243,2224
Guatemala,Guatemala,15.7835,-90.2308,214
Guinea,Guinea,9.9456,-9.6966,477
Guyana,Guyana,5,-58.75,63
Haiti,Haiti,18.9712,-72.2852,43
Holy See,Holy See,41.9029,12.4534,8
Honduras,Honduras,15.2,-86.2419,442
Hungary,Hungary,47.1625,19.5033,1763
Iceland,Iceland,64.9631,-19.0208,1754
India,India,21,78,14352
Indonesia,Indonesia,-0.7893,113.9213,5923
Iran,Iran,32,53,79494
Iraq,Iraq,33,44,1482
Ireland,Ireland,53.1424,-7.6921,13980
Israel,Israel,31,35,12982
Italy,Italy,43,12,172434
Jamaica,Jamaica,18.1096,-77.2975,143
Japan,Japan,36,138,9787
Jordan,Jordan,31.24,36.51,407
Kazakhstan,Kazakhstan,48.0196,66.9237,1546
Kenya,Kenya,-0.0236,37.9062,246
"Korea, South","Korea, South",36,128,10635
Kuwait,Kuwait,29.5,47.75,1658
Kyrgyzstan,Kyrgyzstan,41.2044,74.7661,489
Latvia,Latvia,56.8796,24.6032,682
Lebanon,Lebanon,33.8547,35.8623,668
Liberia,Liberia,6.4281,-9.4295,76
Liechtenstein,Liechtenstein,47.14,9.55,79
Lithuania,Lithuania,55.1694,23.8813,1149
Luxembourg,Luxembourg,49.8153,6.1296,3480
Madagascar,Madagascar,-18.7669,46.8691,117
Malaysia,Malaysia,2.5,112.5,5251
Maldives,Maldives,3.2028,73.2207,28
Malta,Malta,35.9375,14.3754,422
Mauritania,Mauritania,21.0079,10.9408,7
